name,red,green,blue,alpha,id
Untagged,0,0,0,255,1
Building,255,0,111,255,2
layer_GR_Moss1_ASGR_Moss1_N,0,178,5,255,3
layer_GR_Dirt1_ASGR_Dirt1_N,168,114,0,255,4
layer_GR_Asphalt1_ASGR_Asphalt1_N,168,168,168,255,5
Fence,43,255,0,255,6
Rock,78,84,72,255,7
Bridge,89,0,255,255,8
Bush,3,0,255,255,9
Boat,255,0,32,255,10
Vehicle,255,0,107,255,11
Tree,0,255,187,255,12
unknown1,190,54,116,255,13
unknown2,49,77,121,255,14
unknown3,226,37,113,255,15
unknown4,143,67,119,255,16
unknown5,225,94,97,255,17
unknown6,188,130,80,255,18
unknown7,137,156,57,255,19
unknown8,0,156,4,255,20
unknown9,0,130,3,255,21
unknown10,0,94,1,255,22
unknown11,88,165,4,255,23
unknown12,148,134,1,255,24
unknown13,237,58,97,255,25
unknown14,217,82,79,255,26
unknown15,195,100,56,255,27
unknown16,217,82,79,255,28
unknown17,123,150,3,255,29
