name,red,green,blue,alpha,id
Sign,255,0,255,255,1
Building,255,0,0,255,2
Wall,204,51,51,255,3
TrafficSign,204,0,204,255,4
Lamp,128,128,0,255,5
TrafficPole,191,0,191,255,6
Road,204,204,204,255,7
Sidewalk,128,128,128,255,8
StreetSign,0,255,255,255,9
Barrier,64,0,191,255,1
Roof,51,102,178,255,2
ACUnit,178,51,255,255,3
Pole,128,0,128,255,4
Barricade,204,51,51,255,5
TrafficLight,191,76,191,255,6
Awning,178,128,76,255,7
Stairs,51,204,153,255,8
Planter,64,191,25,255,9
Car,0,0,255,255,10
StreetLamp,0,204,204,255,11
Bridge,178,178,178,255,12
BridgeSupport,165,165,165,255,13
HwySupport,140,140,140,255,14
door,204,51,204,255,15
unknown1,255,0,137,255,16
unknown2,255,0,188,255,17
unknown3,188,149,149,255,18
unknown4,221,130,130,255,19
unknown5,239,94,94,255,20
unknown6,137,179,179,255,1
unknown7,178,135,221,255,2
unknown8,221,35,188,255,3
unknown9,239,22,137,255,4
unknown10,201,44,225,255,5
unknown11,172,111,0,255,6
unknown12,232,65,0,255,7
unknown13,128,128,0,255,8
unknown14,204,92,0,255,9
unknown15,232,0,65,255,10
unknown16,204,0,92,255,11
unknown17,128,0,128,255,12
unknown18,204,0,92,255,13
unknown19,204,92,92,255,14
unknown20,172,111,111,255,15
unknown21,171,171,171,255,16
unknown22,189,189,189,255,17
unknown23,151,151,151,255,18
unknown24,102,92,163,255,19
unknown25,116,111,147,255,20
unknown26,102,92,163,255,1
unknown27,232,65,65,255,2
unknown28,204,92,92,255,3
unknwon29,85,65,178,255,4
unknwon30,163,99,110,255,5
unknown31,64,140,141,255,6
unknown32,64,101,168,255,7
unknown33,64,191,26,255,8
unknwon34,114,117,126,255,9
unknown35,102,163,94,255,10
unknown36,85,178,70,255,11
unknown37,166,166,166,255,12
unknown38,216,121,121,255,13
unknown39,192,0,140,255,14
unknown40,237,87,87,255,15
unknown41,226,0,101,255,16
unknown42,179,124,124,255,17
unknown43,138,138,138,255,18
unknown44,164,92,134,255,19
unknown45,157,157,157,255,20
unknown46,148,148,148,255,1
unknown47,186,135,135,255,2
unknown48,166,166,166,255,3
unknown49,237,87,87,255,4
unknown50,216,121,121,255,5
object1,0,0,0,255,6
object2,188,0,0,255,7
object3,193,145,145,255,8
object4,169,169,169,255,9
object5,172,172,172,255,10
object6,226,101,8,255,11
object7,120,170,34,255,12
object8,155,144,40,255,13
object9,147,150,156,255,14
object10,125,131,146,255,15
object11,182,110,46,255,16
object12,225,0,0,255,17
object13,137,0,0,255,18
object14,244,22,22,255,19
object15,231,35,35,255,20
object16,218,44,44,255,1
object17,255,0,225,255,2
object18,145,145,145,255,3
object19,121,121,121,255,4
object20,176,147,147,255,5
object21,186,125,125,255,6
object22,195,97,97,255,7
object23,155,35,144,255,8
object24,120,22,170,255,9
object25,182,44,110,255,10
object26,146,0,168,255,11
object27,148,145,173,255,12
object28,102,87,185,255,13
object29,128,121,179,255,14
object30,168,168,168,255,15
object31,44,0,140,255,16
object32,108,108,108,255,17
object33,149,149,149,255,18
object34,158,158,158,255,19
object35,176,176,176,255,20
object36,186,186,186,255,1
object37,195,195,195,255,2
object38,179,179,179,255,3
object39,189,79,79,255,4
object40,182,179,201,255,5
object41,151,114,114,255,6
object42,171,99,99,255,7
object43,189,139,139,255,8
object44,120,108,195,255,9
object45,196,65,65,255,10
object46,161,92,92,255,11
object47,132,125,182,255,12
object,226,37,62,255,13
object,190,54,87,255,14
object,149,35,190,255,15
object,108,22,226,255,16
object,44,0,226,255,17
object,30,0,241,255,18
object,113,22,209,255,19
object,108,108,244,255,20
object,64,168,104,255,1
object,146,140,103,255,2
object,146,168,21,255,3
object,125,125,218,255,4
object,155,152,68,255,5
object,111,111,172,255,6
object,149,149,231,255,7
object,92,92,204,255,8
object,161,161,204,255,9
object,179,179,218,255,10
object,102,134,134,255,11
object,116,147,112,255,12
object,85,119,153,255,13
